Negative,خوبه ولی خب به قیمتش نمی ارزه
Negative,من از این دارم در یک کلام اصلا بدرد نمیخوره حالا با هر قیمتی چون کیفیت نداره
Negative,بد بودن جنس کالا
Negative,زود خراب شد
Negative,عکسش مبهم و داخل جا ادویه رو نشون ندادید
Negative,مدتیه دارمش . . برای کار های معمولی و بازی های معمولی مثل pesوبرخی بازی های قدیمی خوبه ولی اگ بخواین بازی های جدید رو تست کنین تو اکثر موارد کم میاره و جواب گو نیست
Negative,با سلام گوشی جی ال ایکس جی 3 بدترین گوشی ایرانیه که به حال دیدم که تا کنون 6 ایراد داشته است به شرح زیر : 1 - بعد از یه مدت سوکت شارزر تلفن دچار خرابی شده و بنده مبلغ 400 تومن دادم که سوکتشو تعمیر کنن باز م هنوز که هنوزه سوکتش دچار خراابیه و قشنگ شارزر نمیشه ! ! 2 - دوربین عکسبرداری تلفن بسیار مزخرفه همش فوکوس میندازه ! 3 - توی فیلم برداری موقع فیلم برداری که صدا وتصویر ضبط میشه کیفیت تصویر بد نیست اما اصلن صدایی توی فیلمبرداری ضبط نمیشه و به قدری صدای ضبط شده ضعیفه که انگار از ته چاه صدا میاد ! 4 - رنگ دور قاب گوشی به مرور زمان از بین میره و تغییر رنگ میده ! 5 - بعضی وقتا انتن دهی گوشی بسیار مزخرفه و حتی خود به خود میره روی حالت پرواز که من نمیدونم چه صیغه اییه ! 6 - باطری تلفن به طرز خیلی مزخرف وافتضاحی درصدش کم میشه بطوری که بعداز دوساعت باطری گوشی از 100 % میاد به 45 %
Negative,بد نیست ولی به قیمتش نمیارزه اگه میشد چندین بار استفاده کرد میارزید
Negative,اصلا پیشنهاد نمیکنم از خریدش پشیمونم با اینکه اصله ولی خیلی صداش زیاده
Negative,استیل جنس مرغوبی برای قهوه ساز نیست ؛ چون خیلی سریع داغ می شه . هیچ قهوه ساز حرفه ای از استیل ساخته نمی شه . من خرید این محصولو توصیه نمی کنم .
Negative,اصلا خوب نیست . هرگز پیشنهاد نمیکنم .
Negative,من این گوشی رو 20 روزه خریدم وزن گوشی خیلی زیاده و من نمیتونم توی دستم بگیرم برای خانم ها مناسب نیست.کیفیت صداش در حد عالی نیست دوربینشم نمیشه گفت عالیه.در قسمت شارزش هم با بدنه مماس نیست شاید این در مجموع پشیمونم چرا m8 نخریدم واقعا قابل قیاس نیستن !
Negative,بعد از دو روز به سختی شارژ میکنه
Negative,من قبلا یک پاور بانکxiaomi 1600 خریدم ولی متاسفانه اصلا ظرفیت باتری اون عددی که ثبت شده بود یعنی 100 را نداشت دوستان هیچ وقت طرف جنس چینی نروید من دوتا محصولو تست کردم اصلا قابل مقایسه نیست
